date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	20:59:00	500	13855	346	47938300.0	223033	13910	13855	2	13860	69	346	47938300
20210421	21:00:00	500	13850	251	34768900.0	222937	13910	13845	17	13850	83	597	82707200
20210421	21:00:01	0	13845	283	39170750.0	222899	13910	13835	2	13845	37	880	121877950
20210421	21:00:01	500	13845	184	25464500.0	222882	13910	13835	23	13840	1	1064	147342450
20210421	21:00:02	0	13845	163	22562750.0	222895	13910	13845	3	13850	135	1227	169905200
20210421	21:00:02	500	13850	198	27414450.0	222824	13910	13840	25	13845	1	1425	197319650
20210421	21:00:03	0	13845	67	9278400.0	222830	13910	13845	67	13850	32	1492	206598050
20210421	21:00:03	500	13855	91	12604150.0	222861	13910	13850	43	13855	59	1583	219202200
20210421	21:00:04	0	13850	43	5956400.0	222832	13910	13850	50	13855	48	1626	225158600
20210421	21:00:04	500	13850	111	15375700.0	222799	13910	13850	52	13855	24	1737	240534300
20210421	21:00:05	0	13860	86	11914500.0	222812	13910	13855	19	13860	99	1823	252448800
20210421	21:00:05	500	13855	76	10530250.0	222804	13910	13855	1	13860	104	1899	262979050
20210421	21:00:06	0	13855	36	4987300.0	222785	13910	13850	72	13855	54	1935	267966350
20210421	21:00:06	500	13855	41	5679500.0	222790	13910	13850	66	13855	63	1976	273645850
20210421	21:00:07	0	13855	16	2216600.0	222783	13910	13850	69	13855	60	1992	275862450
20210421	21:00:07	500	13855	63	8728450.0	222789	13910	13850	70	13855	12	2055	284590900
20210421	21:00:08	0	13855	68	9421000.0	222785	13910	13850	111	13860	119	2123	294011900
20210421	21:00:08	500	13855	30	4156700.0	222783	13910	13855	1	13860	112	2153	298168600
20210421	21:00:09	0	13855	62	8589600.0	222790	13910	13850	105	13855	10	2215	306758200
20210421	21:00:09	500	13855	9	1246900.0	222794	13910	13850	114	13855	43	2224	308005100
20210421	21:00:10	0	13855	41	5679250.0	222794	13910	13850	109	13855	34	2265	313684350
20210421	21:00:10	500	13850	88	12190550.0	222767	13910	13850	77	13855	2	2353	325874900
20210421	21:00:11	0	13850	67	9281950.0	222780	13910	13850	60	13855	6	2420	335156850
20210421	21:00:11	500	13855	25	3463300.0	222783	13910	13850	56	13855	51	2445	338620150
20210421	21:00:12	0	13855	38	5264700.0	222804	13910	13850	53	13855	33	2483	343884850
20210421	21:00:12	500	13850	31	4294550.0	222810	13910	13850	84	13855	21	2514	348179400
20210421	21:00:13	0	13855	31	4294950.0	222821	13910	13855	36	13860	134	2545	352474350
20210421	21:00:13	500	13855	14	1939800.0	222814	13910	13855	50	13860	140	2559	354414150
20210421	21:00:14	0	13860	156	21621650.0	222928	13910	13860	9	13865	82	2715	376035800
20210421	21:00:14	500	13860	11	1524850.0	222933	13910	13860	69	13865	85	2726	377560650
20210421	21:00:15	0	13865	24	3327000.0	222934	13910	13860	76	13865	73	2750	380887650
20210421	21:00:15	500	13865	113	15666850.0	222947	13910	13860	87	13865	19	2863	396554500
20210421	21:00:16	0	13860	51	7070550.0	222972	13910	13860	137	13865	7	2914	403625050
20210421	21:00:16	500	13865	51	7070650.0	222984	13910	13860	132	13865	44	2965	410695700
20210421	21:00:17	0	13865	25	3465700.0	222977	13910	13860	123	13865	37	2990	414161400
20210421	21:00:17	500	13860	6	831750.0	222975	13910	13860	127	13865	41	2996	414993150
20210421	21:00:18	0	13865	51	7071150.0	222957	13910	13860	142	13865	1	3047	422064300
20210421	21:00:18	500	13865	12	1663850.0	222958	13910	13865	21	13870	81	3059	423728150
20210421	21:00:19	0	13865	30	4160050.0	222961	13910	13865	55	13870	71	3089	427888200
20210421	21:00:19	500	13860	94	13032100.0	222944	13910	13860	123	13865	1	3183	440920300
20210421	21:00:20	0	13860	39	5406950.0	222955	13910	13860	146	13865	29	3222	446327250
20210421	21:00:20	500	13860	108	14972450.0	222915	13910	13860	107	13870	77	3330	461299700
20210421	21:00:21	0	13860	38	5268500.0	222907	13910	13865	1	13870	83	3368	466568200
20210421	21:00:21	500	13870	65	9012550.0	222913	13910	13865	1	13870	78	3433	475580750
20210421	21:00:22	0	13865	28	3882900.0	222927	13910	13865	59	13870	67	3461	479463650
20210421	21:00:22	500	13865	60	8320050.0	222931	13910	13865	73	13870	54	3521	487783700
20210421	21:00:23	0	13865	38	5270000.0	222932	13910	13865	98	13870	24	3559	493053700
20210421	21:00:23	500	13870	39	5409400.0	222933	13910	13870	63	13875	172	3598	498463100
20210421	21:00:24	0	13870	47	6519500.0	222923	13910	13870	88	13875	163	3645	504982600
20210421	21:00:24	500	13875	20	2774700.0	222925	13910	13870	95	13875	155	3665	507757300
20210421	21:00:25	0	13875	163	22616200.0	223051	13910	13875	29	13880	129	3828	530373500
20210421	21:00:25	500	13875	64	8880050.0	223037	13910	13875	9	13880	130	3892	539253550
20210421	21:00:26	0	13875	55	7631200.0	223036	13910	13870	129	13880	133	3947	546884750
20210421	21:00:26	500	13880	42	5828200.0	223050	13910	13875	6	13880	118	3989	552712950
20210421	21:00:27	0	13880	59	8187200.0	223043	13910	13875	44	13880	102	4048	560900150
20210421	21:00:27	500	13875	47	6522500.0	223048	13910	13875	49	13880	81	4095	567422650
20210421	21:00:28	0	13880	35	4856750.0	223031	13910	13875	37	13880	74	4130	572279400
20210421	21:00:28	500	13875	65	9019850.0	223029	13910	13875	19	13880	61	4195	581299250
20210421	21:00:29	0	13880	67	9297600.0	223006	13910	13875	2	13880	54	4262	590596850
20210421	21:00:29	500	13880	33	4579850.0	223015	13910	13875	21	13880	43	4295	595176700
20210421	21:00:30	0	13880	11	1526550.0	223013	13910	13875	22	13880	59	4306	596703250
20210421	21:00:30	500	13880	43	5966700.0	223004	13910	13875	1	13880	61	4349	602669950
20210421	21:00:31	0	13875	36	4995500.0	223003	13910	13870	125	13875	1	4385	607665450
20210421	21:00:31	500	13880	187	25952650.0	222990	13910	13875	51	13885	113	4572	633618100
20210421	21:00:32	0	13880	17	2359250.0	222994	13910	13875	62	13880	7	4589	635977350
20210421	21:00:32	500	13880	38	5274300.0	223008	13910	13875	78	13880	24	4627	641251650
20210421	21:00:33	0	13880	39	5413300.0	223015	13910	13880	5	13885	132	4666	646664950
20210421	21:00:33	500	13880	69	9577500.0	223014	13910	13880	2	13885	128	4735	656242450
20210421	21:00:34	0	13880	37	5136000.0	223030	13910	13880	23	13885	118	4772	661378450
20210421	21:00:34	500	13880	93	12910100.0	223090	13910	13880	49	13885	84	4865	674288550
20210421	21:00:35	0	13885	123	17078050.0	223107	13910	13885	1	13890	150	4988	691366600
20210421	21:00:35	500	13885	18	2499100.0	223107	13910	13880	79	13885	34	5006	693865700
20210421	21:00:36	0	13880	16	2220950.0	223103	13910	13880	76	13885	53	5022	696086650
20210421	21:00:36	500	13880	88	12214350.0	223074	13910	13875	146	13880	2	5110	708301000
20210421	21:00:37	0	13875	102	14158400.0	223089	13910	13875	151	13885	76	5212	722459400
20210421	21:00:37	500	13885	9	1249450.0	223086	13910	13880	12	13885	72	5221	723708850
20210421	21:00:38	0	13875	38	5274400.0	223091	13910	13875	151	13880	30	5259	728983250
